sd_cd,sd_nm,sgg_cd,sgg_nm,tree_tco2
41,경기도,41111,수원시 장안구,38753.16
41,경기도,41113,수원시 권선구,8623.04
41,경기도,41115,수원시 팔달구,1817.43
41,경기도,41117,수원시 영통구,13006.07
41,경기도,41131,성남시 수정구,62067.5
41,경기도,41133,성남시 중원구,39723.4
41,경기도,41135,성남시 분당구,97815.75
41,경기도,41150,의정부시,102431.76
41,경기도,41171,안양시 만안구,33918.08
41,경기도,41173,안양시 동안구,10872.04
41,경기도,41190,부천시,16941.96
41,경기도,41210,광명시,21955.39
41,경기도,41220,평택시,85039.4
41,경기도,41250,동두천시,150745.92
41,경기도,41271,안산시 상록구,54556.52
41,경기도,41273,안산시 단원구,35473.77
41,경기도,41281,고양시 덕양구,157477.52
41,경기도,41285,고양시 일산동구,22475.66
41,경기도,41287,고양시 일산서구,1210.53
41,경기도,41290,과천시,51828.41
41,경기도,41310,구리시,22792.79
41,경기도,41360,남양주시,706388.68
41,경기도,41370,오산시,16475.12
41,경기도,41390,시흥시,63111.78
41,경기도,41410,군포시,41018.37
41,경기도,41430,의왕시,82242.06
41,경기도,41450,하남시,120243.86
41,경기도,41461,용인시 처인구,555998.98
41,경기도,41463,용인시 기흥구,75827.27
41,경기도,41465,용인시 수지구,62318.37
41,경기도,41480,파주시,70373.39
41,경기도,41500,이천시,350237.87
41,경기도,41550,안성시,503119.01
41,경기도,41570,김포시,20712.08
41,경기도,41590,화성시,272050.07
41,경기도,41610,광주시,705458.43
41,경기도,41630,양주시,327528.75
41,경기도,41650,포천시,1182949.4
41,경기도,41670,여주시,552902.24
41,경기도,41800,연천군,85083.29
41,경기도,41820,가평군,1818824.29
41,경기도,41830,양평군,1523334.71
