sd_cd,sd_nm,sgg_cd,sgg_nm,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,h_10,h_11,h_12,h_tot
41,경기도,41111,수원시 장안구,35428.1,35428.1,35428.1,35428.1,35428.1,35428.1,35428.1,35428.1,35428.1,35428.1,35428.1,35428.1,35428.1
41,경기도,41113,수원시 권선구,23536.74,23536.74,23536.74,23536.74,23536.74,23536.74,23536.74,23536.74,23536.74,23536.74,23536.74,23536.74,23536.74
41,경기도,41115,수원시 팔달구,13340.36,13340.36,13340.36,13340.36,13340.36,13340.36,13340.36,13340.36,13340.36,13340.36,13340.36,13340.36,13340.36
41,경기도,41117,수원시 영통구,106852.66,106852.66,106852.66,106852.66,106852.66,106852.66,106852.66,106852.66,106852.66,106852.66,106852.66,106852.66,106852.66
41,경기도,41131,성남시 수정구,21600.36,21600.36,21600.36,21600.36,21600.36,21600.36,21600.36,21600.36,21600.36,21600.36,21600.36,21600.36,21600.36
41,경기도,41133,성남시 중원구,7896.28,7896.28,7896.28,7896.28,7896.28,7896.28,7896.28,7896.28,7896.28,7896.28,7896.28,7896.28,7896.28
41,경기도,41135,성남시 분당구,203589.1,203589.1,203589.1,203589.1,203589.1,203589.1,203589.1,203589.1,203589.1,203589.1,203589.1,203589.1,203589.1
41,경기도,41150,의정부시,17419.14,17419.14,17419.14,17419.14,17419.14,17419.14,17419.14,17419.14,17419.14,17419.14,17419.14,17419.14,17419.14
41,경기도,41171,안양시 만안구,6189.18,6189.18,6189.18,6189.18,6189.18,6189.18,6189.18,6189.18,6189.18,6189.18,6189.18,6189.18,6189.18
41,경기도,41173,안양시 동안구,69479.68,69479.68,69479.68,69479.68,69479.68,69479.68,69479.68,69479.68,69479.68,69479.68,69479.68,69479.68,69479.68
41,경기도,41190,부천시,94735.83,94735.83,94735.83,94735.83,94735.83,94735.83,94735.83,94735.83,94735.83,94735.83,94735.83,94735.83,94735.83
41,경기도,41210,광명시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41220,평택시,38060.9,38060.9,38060.9,38060.9,38060.9,38060.9,38060.9,38060.9,38060.9,38060.9,38060.9,38060.9,38060.9
41,경기도,41250,동두천시,0,0,0,0,0,0,0,0,0,0,0,0,0
41,경기도,41271,안산시 상록구,26342.18,26342.18,26342.18,26342.18,26342.18,26342.18,26342.18,26342.18,26342.18,26342.18,26342.18,26342.18,26342.18
41,경기도,41273,안산시 단원구,45430.8,45430.8,45430.8,45430.8,45430.8,45430.8,45430.8,45430.8,45430.8,45430.8,45430.8,45430.8,45430.8
