sd_cd,sd_nm,sgg_cd,sgg_nm,e_01,e_02,e_03,e_04,e_05,e_06,e_07,e_08,e_09,e_10,e_11,e_12,e_tot
41,경기도,41111,수원시 장안구,510287.3,510287.3,510287.3,510287.3,510287.3,510287.3,510287.3,510287.3,510287.3,510287.3,510287.3,510287.3,510287.3
41,경기도,41113,수원시 권선구,654543.28,654543.28,654543.28,654543.28,654543.28,654543.28,654543.28,654543.28,654543.28,654543.28,654543.28,654543.28,654543.28
41,경기도,41115,수원시 팔달구,430728.75,430728.75,430728.75,430728.75,430728.75,430728.75,430728.75,430728.75,430728.75,430728.75,430728.75,430728.75,430728.75
41,경기도,41117,수원시 영통구,725249.31,725249.31,725249.31,725249.31,725249.31,725249.31,725249.31,725249.31,725249.31,725249.31,725249.31,725249.31,725249.31
41,경기도,41131,성남시 수정구,432842.98,432842.98,432842.98,432842.98,432842.98,432842.98,432842.98,432842.98,432842.98,432842.98,432842.98,432842.98,432842.98
41,경기도,41133,성남시 중원구,544936.97,544936.97,544936.97,544936.97,544936.97,544936.97,544936.97,544936.97,544936.97,544936.97,544936.97,544936.97,544936.97
41,경기도,41135,성남시 분당구,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31,1355853.31
41,경기도,41150,의정부시,719943.2,719943.2,719943.2,719943.2,719943.2,719943.2,719943.2,719943.2,719943.2,719943.2,719943.2,719943.2,719943.2
41,경기도,41171,안양시 만안구,455039.46,455039.46,455039.46,455039.46,455039.46,455039.46,455039.46,455039.46,455039.46,455039.46,455039.46,455039.46,455039.46
41,경기도,41173,안양시 동안구,870654.57,870654.57,870654.57,870654.57,870654.57,870654.57,870654.57,870654.57,870654.57,870654.57,870654.57,870654.57,870654.57
41,경기도,41190,부천시,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04,1702344.04
41,경기도,41210,광명시,487885.07,487885.07,487885.07,487885.07,487885.07,487885.07,487885.07,487885.07,487885.07,487885.07,487885.07,487885.07,487885.07
41,경기도,41220,평택시,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41,3328744.41
41,경기도,41250,동두천시,248409.41,248409.41,248409.41,248409.41,248409.41,248409.41,248409.41,248409.41,248409.41,248409.41,248409.41,248409.41,248409.41
41,경기도,41271,안산시 상록구,581731.23,581731.23,581731.23,581731.23,581731.23,581731.23,581731.23,581731.23,581731.23,581731.23,581731.23,581731.23,581731.23
41,경기도,41273,안산시 단원구,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21,3015849.21
41,경기도,41281,고양시 덕양구,808707.2,808707.2,808707.2,808707.2,808707.2,808707.2,808707.2,808707.2,808707.2,808707.2,808707.2,808707.2,808707.2
41,경기도,41285,고양시 일산동구,877970.23,877970.23,877970.23,877970.23,877970.23,877970.23,877970.23,877970.23,877970.23,877970.23,877970.23,877970.23,877970.23
