sd_cd,sd_nm,sgg_cd,sgg_nm,road_tco2
41,경기도,41111,수원시 장안구,491501.53
41,경기도,41113,수원시 권선구,880989.91
41,경기도,41115,수원시 팔달구,334439.54
41,경기도,41117,수원시 영통구,745866.59
41,경기도,41131,성남시 수정구,851689.67
41,경기도,41133,성남시 중원구,495205.33
41,경기도,41135,성남시 분당구,1560364.55
41,경기도,41150,의정부시,1058814.88
41,경기도,41171,안양시 만안구,491164.88
41,경기도,41173,안양시 동안구,552625.72
41,경기도,41190,부천시,1281102.5
41,경기도,41210,광명시,672840.16
41,경기도,41220,평택시,2642455.25
41,경기도,41250,동두천시,294682.53
41,경기도,41271,안산시 상록구,1001277.58
41,경기도,41273,안산시 단원구,1009531.01
41,경기도,41281,고양시 덕양구,1830496.9
41,경기도,41285,고양시 일산동구,834669.43
41,경기도,41287,고양시 일산서구,638389.94
41,경기도,41290,과천시,320172.11
41,경기도,41310,구리시,671871.19
41,경기도,41360,남양주시,2057255.56
41,경기도,41370,오산시,708316.31
41,경기도,41390,시흥시,2432850.2
41,경기도,41410,군포시,608031.25
41,경기도,41430,의왕시,786456.61
41,경기도,41450,하남시,981587.81
41,경기도,41461,용인시 처인구,1600548.51
41,경기도,41463,용인시 기흥구,1597748.58
41,경기도,41465,용인시 수지구,643511.08
41,경기도,41480,파주시,1662786.51
41,경기도,41500,이천시,1316886.8
41,경기도,41550,안성시,1411928.18
41,경기도,41570,김포시,1627901.03
41,경기도,41590,화성시,4080933.72
41,경기도,41610,광주시,1640382
41,경기도,41630,양주시,1140182.49
41,경기도,41650,포천시,856550.08
41,경기도,41670,여주시,1067325.22
41,경기도,41800,연천군,214979.16
41,경기도,41820,가평군,487463.06
41,경기도,41830,양평군,653933.53
