시도별,탄소배출량,탄소흡수량,총계
서울특별시,48757649,288306,48469343
부산광역시,19188202,782205,18405997
대구광역시,14490316,1187976,13302340
인천광역시,21085856,260444,20825412
광주광역시,9039331,339309,8700022
대전광역시,9576584,745693,8830891
울산광역시,16541189,1695214,14845975
세종특별자치시,3073155,509694,2563461
경기도,106010527,10165686,95844841
강원특별자치도,12961630,32179400,-19217770
충청북도,21415131,12122533,9292598
충청남도,32282079,6970093,25311986
전라북도,17889618,9595102,8294516
전라남도,21617193,12117326,9499867
경상북도,33571247,33145577,425670
경상남도,28642488,16740509,11901979
제주특별자치도,5188625,1414807,3773818
